gain,slope,intercept
-5.0,-2.4166524972553955e-05,0.2584444415029973
-4.754,2.0327181551452517e-06,0.2561995561271172
-4.508,7.019473813307694e-06,0.2543572411916771
-4.263,9.055275982685078e-06,0.25154190259329057
-4.017,2.783615859047338e-06,0.24974965570978458
-3.771,8.54960890885642e-06,0.24786746497478293
-3.525,1.911791021525322e-06,0.24599723832643233
-3.28,2.0202711183550063e-05,0.24312202450946088
-3.034,1.3451586355767909e-05,0.24155247348164383
-2.788,1.1866131422667099e-05,0.23894011996652748
-2.542,2.390963540354946e-05,0.23719485503216167
-2.297,1.3267396635027795e-05,0.23572100990372097
-2.051,2.4968697505413577e-05,0.23319563574005744
-1.805,2.227343245952057e-05,0.23096732933489456
-1.559,2.0502030077752705e-05,0.2294944774539539
-1.314,2.7882726352241078e-05,0.22743788424067807
-1.068,2.6196132587295097e-05,0.22601307633746887
-0.822,2.8916472935301665e-05,0.22419025274143517
-0.576,1.8026782668165646e-05,0.22310317246490174
-0.331,1.9986357645467164e-05,0.2212031621406037
-0.085,3.706262475941853e-05,0.2194173488280699
0.161,3.360195821761727e-05,0.21798167119810793
0.407,3.100389665724003e-05,0.21664383685512154
0.653,2.1696236042303803e-05,0.21593288410231826
0.898,2.3830359888894775e-05,0.21427579373768452
1.144,1.9516924777718335e-05,0.21319219002291917
1.39,3.163132400346544e-05,0.2119552052517932
1.636,3.335359688056733e-05,0.21113348680668603
1.881,2.329390478564253e-05,0.21020528890221093
2.127,3.1692018606442675e-05,0.20967463465303018
2.373,2.4590058600720905e-05,0.20918370481820428
2.619,4.459702315541281e-05,0.20839147304382777
2.864,3.289958981409408e-05,0.2083334701153201
3.11,2.3087080438830985e-05,0.20808714019226393
3.356,2.501232219462635e-05,0.20804674295156586
3.602,2.065452149458453e-05,0.2079450498739177
3.847,2.8015612087337062e-05,0.20788767944851963
4.093,3.669339242230315e-05,0.2079735778559597
4.339,3.882876920725363e-05,0.20840983480610675
4.585,3.73765249786876e-05,0.20871527332798398
4.831,4.179349291759927e-05,0.20946121794847067
5.076,3.440594456237628e-05,0.2099207193830327
5.322,3.920912118155286e-05,0.2107430120634281
5.568,2.4928031935860534e-05,0.21217261882525873
5.814,2.412663386469171e-05,0.2133874516028732
6.059,2.2124813838906324e-05,0.21497517129454494
6.305,1.8180234321091412e-05,0.21645919730624508
6.551,2.0471186601504428e-05,0.21866597325362883
6.797,2.7989948636017964e-05,0.22041651434224308
7.042,1.2664883671307161e-05,0.2228283205253865
7.288,1.5351354279227624e-05,0.22553524659707105
7.534,5.29656843254199e-06,0.22764792984764332
7.78,9.668445972323168e-06,0.23065091506264482
8.025,-3.2082685079256984e-05,0.23307408312882077
8.271,1.071159194356076e-05,0.23447229429253427
8.517,1.9089100684619963e-05,0.23833129229567296
8.763,1.747545778537859e-05,0.24084043389333923
9.008,8.251121919951502e-06,0.24344790372878233
9.254,3.562433831024587e-05,0.2482877930061712
9.5,1.4816042102062781e-05,0.25135301096029833
